,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Social support,Healthy life expectancy,Freedom to make life choices,Trust (Government Corruption),Generosity,Dystopia Residual,Cluster,Year,name,region,subregion,population,area
36,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,2,2018,Sweden,Europe,Northern Europe,9894888,450295
37,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,2,2019,Sweden,Europe,Northern Europe,9894888,450295
38,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,2,2015,Sweden,Europe,Northern Europe,9894888,450295
39,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,2,2015,Sweden,Europe,Northern Europe,9894888,450295
40,New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2,2018,New Zealand,Oceania,Australia and New Zealand,4697854,270467
41,New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2,2017,New Zealand,Oceania,Australia and New Zealand,4697854,270467
42,New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2,2019,New Zealand,Oceania,Australia and New Zealand,4697854,270467
43,New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2,2015,New Zealand,Oceania,Australia and New Zealand,4697854,270467
44,New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2,2015,New Zealand,Oceania,Australia and New Zealand,4697854,270467
45,Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,2,2017,Australia,Oceania,Australia and New Zealand,24117360,7692024
46,Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,2,2015,Australia,Oceania,Australia and New Zealand,24117360,7692024
